start	end	text
300000	319000	И кроме того, разместим на специальном собственном ресурсе, на конфлюенции, где вы сможете видеть всю информацию о нашей работе, о нашем проекте, где можно обсуждать, задавать вопросы, и мы оперативно будем отвечать на них.
320000	336000	Формат ткущая, ткущая с третьей следующей, то есть мы выступаем докладчик, он рассказывает о своем докладе выфиксируйте вопросы в отчате и докладчик, собственно говоря, на них отвечает.
336000	341000	Примерно 10 минут на ответы на вопросы в нас при грузмотке.
341000	348000	Поговорю за внимание, надеюсь нам платят воренную работу. Валерий, без слова.
349000	368000	Спасибо вам, Таля. Всем добрый день. Меня зовут Валерий Копль, я являюсь ведущим всемым арстектором отделанных экспертизы.
369000	376000	И сегодня мы поговорим про локальные объекты банка и дебяй.
378000	383000	Начнём с цель по выступления.
383000	391000	Как известно, компаний CFT уже стартовала работы у адаптации дестрибитивного кода, КТРА в Дибяй.
391000	412000	Но помимо дестрибитивного кода есть ещё большое количество локальных объектов, которые, КТРА в Дибяй также необходимо адаптировать, и цель моего доклада будет как раз познакомить с рекомендациями по адаптации кода,
412000	420000	КТРА для работы с дебяй приложений.
420000	432000	Начнём с того, что же этот документ и его цель, основная цель – это описать правое исправление по КТРА для трансляции которого позволит получить дестрибитив,
432000	440000	совместимый с требованиями его исполнением в средах уроков и возгрескоем.
440000	447000	Немножечко история о том, как-то документ появился.
447000	455000	В прошлом году в начале прошлого года сделать прототип.
455000	463000	Дестрибитиваться в Дибяй будет работать на возгрессе.
463000	482000	И наша команда небольшим составом смогла сделать прототип и получить некоторые результаты в качестве нагрошенного тестирования и функционами в требовании.
482000	490000	Получилось собрать список задач, которые необходимо выполнить, чтобы получить готовый дестрибитив.
490000	501000	Соответственно, на основании все это приобретено в знанию был сформирован в этот документ, о котором мы сегодня поговорим.
501000	505000	Немножечко о его структуре.
505000	514000	Во-первых, в начале в варианте документа используется порядочное количество найденных мест в дестрибитивном ходе.
514000	527000	Однако все последующие пункты будут управляться в следующем порядку без наблюдения предыдущего договоренности, чтобы сохранить инверацию пунктов уже между версией.
527000	535000	И еще один важный момент. Хочется сразу поговорить.
535000	540000	Цедовая дифференциация внутри документа, то есть пункты все покрашены в четыре цвета.
540000	551000	Синий цвет означает, что нет никаких приказствий в реализациях, описанных оттрек в ниже страны, темогическую идра, и софтабанка.
551000	564000	Фиолетовый пункт говорит, что текст рекомендации может использоваться там для анализа кода, но для работы по реализации требования еще ожидаются доработки соус страны технологического идра.
564000	576000	Фиолетовый пункт говорит, что на тегущий момент нет инструментов по уявлению проблему в срок кода, кроме как с самого тестирования исполняем в код в архитектуре тебя.
576000	588000	И серый пункт говорит о том, что требования утратило в свою актуальность, ну и соответственно остается только для сохранения, скажем, номера цепь.
588000	602000	Сам документ, он разделен на три большого блока, первую блока это из коль ДММ, вторую блока это хоронение и процедурный код.
602000	631000	Давайте детами тогда уговорим в трон данной пункта, значит, что он заранее хочется поговорить, что мы в свою очередь меняем перединальный меняем под вот работе забаза данного, мы отказываем все от раковой специфики.
631000	660000	И как показывает правильный пункт от ревы, в больших изменений в кодном ходе, мы ограничимся стандартам ансискоин, так как он поддерживается обоими собади и уроком и возгроз, но даже с учетом поддержки ансисин, так же с обоими базами сейчас будет различия, особенно там где что-то не достаточно специфицировано и где могут появляться там различные трактовки.
660000	684000	Поддержка ансисин, так же, это я существую тоже достаточно давно, но несмотря на это в последнее время она получила достаточно большое развитие, в последних версиях технологического идра вышло достаточно много улучшений и исправлений и связано как раз с ансисин, так же.
684000	713000	Ну, теперь детальна пропунта, первая это Джойна. Раковый оператор плюсик Вальси не поддерживается, это все приводит тому, что нельзя использовать по репрессораментаризацию типа соединения труфолска была раньше в условии ВВА, вместо этого все нужно все запросы нужно переписывать на явные левтра и Джойны.
715000	742000	Дальше на ограничение выборки, следующий пункт достаточно большой, если опять немножко спомнится историю, то в цельх оптимизации ворок, начиная с версией 11.204, сильно увеличили размер прифече, и для борьбы с этим дисробитивом в первую очередь большое количество запросов, они стали содержать ограничение выбор.
743000	766000	Это условия по обсевле до колонки ровно, но синтаксис ровно, он не соответствует ансистандартам, соответственно, бедре появилась интернативная конструкция, поддержка концерта Федшферст, и для тебя приложения входимой переписывать запросы на использование данной конструкции.
767000	790000	Следующий пункт УДФ, пользовательские функции, на мой взгляд, из самых важных тем, в дебяе решения, мы полностью планируем отказаться от таких функций, и таким образом никаких вызовов в кроме процедур не должно быть в ходе, который будет проигрываться на во форме дебяй.
790000	819000	Следующий пункт УДФ, он уже сейчас устаревший, касается служебных слов в пузгрескую на старте, когда только начали адаптировать кот, было требования избавляться от служебных имен, алисах, имена колонок, но в последних версиях технологического ядра мы получили возможность их икранирования таким образом.
820000	831000	Данный пункт, на текущий момент потерял своё актуальность, поэтому мы его ставили чисто для сохранения номерации.
834000	846000	Следующий важный сложный пункт УДФ, что говорит о том, что нет инструментов по выявлению таких проблем, это приведение типов.
847000	872000	В пузгресе есть серьезная проблема степизации, если раньше уроков вполне очень много не явно преобразований, что в одной стороны было очень удобно для разработчиков, но в свою очередь могу негативно там сказываться на производительности, страиней планов и так далее, то пузгрес не явно преобразованием относится на много старожных и большинстве случаев просто отказывается это делать.
872000	882000	Так что если дед разработчик неправильно типов запрос за обидение или получается получить негативно преобразованием стараки в число или наоборот, то такие запросы придётся перебисывать.
885000	889000	Следующий пункт – аналитические сколь функции.
890000	901000	В особый пузгрес вороков присутствует большое количество функций, строковый агрегат для обслуживающей аналитические запросы.
902000	915000	Но в общем, случаи полностью местимость таких функций не гарантируется и мы рекомендую вызвать эти функции за пределами сквей.
916000	928000	На текущий момент основные функции, которые требуются для работы цифта банка, они поддержаны близко к поведению уроков.
929000	942000	Пакет таких функций будет поставляться в рамках обновления цифта банка, но тем не менее, надеяться на 100% совместимость их реализации в пузгресию уроков, но, к сожалению, не приходится.
945000	959000	Следующий пункт про тудейт, более детально мы его раскроем чуть дальше, но он сейчас, наверное, важно против понимания здесь тоже.
960000	970000	Тебе дейт в пузгресе не хранит время. Соответственно, результатом функции тудейт будет дата без времени.
971000	978000	Это достаточно критичное различие, которое необходимо читать при разработке.
980000	984000	Следующий пункт – это рархические запросы.
984000	992000	Сразу стоит сказать, что они, в принципе, отличаются первую анси и уроку.
993000	997000	Все рархические запросы необходимо переписывать на анси-син-таксис.
998000	1003000	Соответственно, они используются син-таксист-канад-брай, не будет работать в тебя и приложении этого него.
1003000	1016000	И необходимо использовать конструкцию ввезорекурсив, который на текущий момент уже выпущили в последних ядрах и готовы когда-то цикла.
1020000	1026000	Следующий – большой пласт. Работ – это системное представление уроков.
1027000	1032000	Скажем так, использование системных представления к тебе и запрещено веду их отсутствие.
1033000	1040000	Все, что раньше мы привыкли использовать для решения разных задач – это воссаешен-вапараметр, сволокс, их больше нет.
1041000	1049000	Также, как у нас нет и универсального ответа вопроса, что с этим делать.
1049000	1063000	Мы исходим из того, что надо рассматривать каждую проблему отдельно, и каждаем, как в этом случае, искать пути решения исходя и, соответственно, новых реальностей, которые готовят нам воздействие.
1066000	1073000	Следующий пункт – это системные таблицы и представления-то я.
1074000	1087000	Сразу, наверное, стоит сказать про архитектуру тебя, что одним из, наверное, самых крупных введений, у тебя стало появление отдельного источника данных для хранения методы.
1088000	1094000	Все описания класса методы необходимо для работы технологического и доработшей не лежат в продуктивную восьм.
1095000	1102000	Все с этим у нас появляется дошлажное ограничение, что не должно быть кросс запросов между разными источниками.
1104000	1114000	Следующие важные моменты, что здесь необходимо различать метод описания модели и служебные таблицы и представления, о котором необходимо для работы транслятора.
1117000	1131000	Последних использований последних, впринципин, допустим, у тебя режимен, так как целевая картина для тебя и приложения, спорки тебя и приложения, спорка из системы контролеверсии.
1131000	1139000	То есть, никакой базы данных в этом участвовать не должно, но скажем так, даже не планируется.
1145000	1154000	Следующий момент — это раковы runtime, раковы runtime также запрещается как и системное представление.
1155000	1160000	Планов в реализациях возгрузия на раковы runtime и их нету.
1162000	1172000	Следующий пункт — это выборки из коллекции, и в анси выборки из коллекции не формализована.
1173000	1181000	Мы имеем это разную реализацию вороклива и возбросия и, соответственно, типу лучший момент,
1182000	1185000	какой-то универсальный выборки из коллекции среди поздания поддерживания.
1186000	1190000	Поэтому выборки из массивы в объектах типов нужно исключить из прельпиус.
1191000	1200000	Но небольшой пиус, что в ближайшее время ожидается реализация универсальной поддержки выборки из коллекции,
1201000	1204000	массивы на уровне технологического ядра, будет становится немножко легче.
1207000	1211000	Следующий, тоже важный пункт — это функциональные риквизиты.
1212000	1221000	В текущий момент ожидается поддержка возможности обращения к улюзначения функционального риквизита в селект листе.
1222000	1227000	Правда, в селект листе только запроса верхнего уровня.
1228000	1235000	Во всех остальных местах исключения недопустимо использования функциональных риквизитов без секции исключения.
1236000	1247000	Следующий, два пункта — это, наверное, ваша видения к самолитайпы и к самолитайпы в части исколь функций.
1248000	1255000	Возгрессе поддержки к самолитайпы и к самолитайпы нет, необходимо выносить данные функции из искольф процедурный код.
1256000	1264000	Следующий, важный пункт — это 2.0.0.0, запросан с Джонером.
1266000	1272000	Местимость пассинта к всему между ворку в полгарству нет.
1273000	1279000	В текущий момент, по-люблюстраиваться апдейт для этого Джоня какого-то, возгрессе не работает.
1280000	1287000	Требуется переписывать предглавное код и в данном случае нужно приорвожность использовать под запросы.
1289000	1294000	Следующий, очень интересный пункт — это пацказки активиза оптимизатора.
1295000	1302000	В позгрессе есть сложность с управлением оптимизатора, как минимум в том, что у него не реализованы пацказки.
1303000	1305000	Сами пацказки они мешать не будут.
1305000	1308000	Если они в коде есть, мы их оставляем фактические документарии.
1309000	1311000	Здесь убирать ничего не надо.
1314000	1317000	Еще один пункт — достаточно недавно.
1320000	1325000	Это выборка из пользовательских представлений.
1325000	1338000	Сразу скажу, что в архитектуре тебя не опланируется создание пользовательских представлений, как объекты базы данных.
1339000	1341000	Здесь и с этим выборка из них запрещена.
1344000	1347000	Еще один момент, который уже частично озвучился.
1348000	1352000	Нового унесли в отдельно для понимания, так как достаточно важно.
1352000	1354000	Впрочем, все в доколонке уроков.
1354000	1359000	Все в доколонок парокловых в позгрессе нет.
1360000	1364000	И поэтому от них также необходимо отказываться.
1367000	1371000	И последний пункт — в данном блоке — это простые представления.
1371000	1376000	Еще одно ограничение, которое надо накладывать DBI — это отсутствие простых представлений.
1377000	1387000	Их нужно сконвертировать, либо переписать на представление, соответственно, с учетом Асисинта Ксиса.
1395000	1400000	Следующий — большой блок — это хранение.
1407000	1417000	Первый пункт — это таблиц в архитектуре DBI — на уровне хранения.
1418000	1420000	От них необходимо избавляться.
1421000	1427000	Из положительных моментов, можно ответить, что дистрибативы считали всего шесть таких ТПП.
1428000	1433000	Избавление, видится, каким либо сложным.
1433000	1437000	Но, соответственно, локальный код также необходимо проанализировать на личных таких ТПП.
1437000	1440000	Ну, соответственно, здесь они есть, то перебисать.
1443000	1452000	Один, наверное, самых объемов блоков с точки зрения хранения — это хранение дата.
1453000	1461000	Как уже ранее говорил, возбрось отличие от уроков, тип дыть неохране треба.
1462000	1476000	И, на первом этаке, это протепирование адаптации кодотистрибатива было принято решение у веграции данных хранящихся в ТПДР.
1477000	1481000	Что в свою очередь принесло на ряд ограничений.
1482000	1486000	Там неприятным стало, что там Станк не позволяет управлять по тимачку для дата.
1487000	1494000	Требует исправление прикладной рот, локина работа с интервалом.
1496000	1510000	В тех пор, долго думали над этим, и я привилась поддержка раздельного ранения для типа для благотных типов дыть.
1511000	1512000	И дейт-там.
1515000	1526000	Что в этом случае мы получаем, в этом случае мы получаем, что тип — рекламный тип дыть,
1527000	1535000	начинает храниться в поздание, как дейт, тип дыть-там, начинает храниться как-то листом.
1536000	1548000	В случае с дейт нам нужно учесть, что, возможно, по ошибке, время, которое ранее вороков все-таки хранил,
1548000	1553000	оно каким-то образом использовалось в предыдуable коде, может быть, сортировка или еще где-то.
1554000	1564000	Такие варианты, используем нам нужно менять, либо совсем отказываться от использования времени, либо данный тип, конвертировать в дыть-там.
1566000	1573000	А что касается тип дыть-там, то для него сохраняется ограничение на осложение вычитания с числом,
1573000	1578000	и если требуется модификация кода, то используемый тип интервал.
1580000	1588000	Соответственно, для дейт-там, при переходе, они именно дейт-там, мы получаем возможность складывать вычитать,
1588000	1595000	дат работы математика, работают более корректно сравнивать с того, мы и так далее.
1597000	1606000	Еще один важный момент, который в этом случае стоит увидеть, что перемены, передающиеся бендомы запросы,
1606000	1612000	типа дейт-там, также будут передаваться без времени, а для передачи бендастей в КМС-там,
1612000	1616000	вот так же придется вынять прикладную кодин на дейт-там.
1621000	1625000	Следующий пункт, переходим в этой идентификации паров ID.
1625000	1632000	Это, опять же, голос киталон, о чем говорили раньше.
1632000	1639000	Все в доколонке, идентификации паров ID, в пускле нету, и на логов тоже нету.
1639000	1646000	И, соответственно, из вариантов, мы рассматриваем либо обратный переход на шестандартную дейт-там.
1646000	1653000	Либо на текущий момент, ожидается очень важная работка, странно-технологического ядра,
1653000	1655000	а точнее, это поддержка основных ключей.
1655000	1660000	Мы считаем, что поддержка основных ключей, с точки зрения хоронения,
1660000	1664000	это правильный путь, в котором нужно стрелиться.
1664000	1671000	Он, так же, в будущем должен будет помочь решить много проблем, в том числе,
1671000	1675000	и там, с партишами и, в прочем, нюансы.
1679000	1684000	В секции сепционирования, сепционирование партишами,
1684000	1693000	по профилю, и глобальный индекс, сразу скажу, что по данным пунктам у нас на текущий момент цветов нету.
1693000	1696000	И вот туда на вопросы находятся, кстати, по работке.
1696000	1699000	В позже, если глобальный индекс отсутствует,
1699000	1706000	ну, и, соответственно, есть значительные различие с точки зрения секционирования.
1706000	1709000	Пока они их не говорили.
1709000	1713000	На следующий пункт, с точки зрения хоронения, это алиобъекты.
1713000	1717000	С ними все достаточно просто их мы не переносим.
1718000	1724000	А алиобъекты, они у нас ворок для новой лист на типе,
1724000	1727000	которые сами вороку не поддерживаются.
1727000	1735000	Это Лонгроус, соответственно, наша рекомендация все где возможно переводить на хоронение типа блока.
1737000	1742000	И последний пункт, с точки зрения хоронения, это временный таблиц.
1743000	1746000	Тоже пункт достаточно важной.
1746000	1751000	Сразу скажу, что с работы с временем таблицами ворок его поздно отличается.
1756000	1762000	Наверное, одно и самых ключевых различий заключается в том, что
1763000	1771000	возгроз требует в рамках каждой сессии временем таблицу заново объединять,
1771000	1782000	что заново объявлять, что в свою очередь приводит к возникновению проблем с производительностью.
1782000	1786000	В частности, это распухание служебного словаря.
1787000	1791000	Это сокращение времени работы базы того, правда.
1791000	1797000	И, исходя из этого, мы настоятельно рекомендуем со своей стороны,
1797000	1801000	максимально от временных таблиц отказываться.
1805000	1814000	Так, едем дальше, у нас остался последний, достаточно большой пункт, связанный с процедурным кодом.
1815000	1822000	То есть, первую то, о чём уже говорили, но с точки зрения процедурного коду на этот раз,
1822000	1825000	это роковый рантайм, опять же.
1827000	1829000	Скажем, так есть и ранее.
1829000	1832000	Прокеты реализации, которых не было в джаво.
1834000	1836000	Мы могли вызывать с помощью перевызовых.
1836000	1843000	То в режиме тебя и перевызыва нет, так же, как и возгросинету этих пакетов.
1844000	1846000	И, как уже говорили, они не планируются.
1846000	1852000	И в данном случае, код должен жестко контролироваться на отсутствие обращений к таким пакетам.
1855000	1857000	Следующий важный момент, что, что, зрение процедурного кода,
1857000	1865000	это различие в понимании пустой строки ороком и опозгрессом.
1866000	1871000	В опозгрессе пустая строка не равняется на лун.
1872000	1876000	И это надо учитывать приин и писаниями деприкации кода.
1876000	1880000	То есть, например, кнуктинация с на лун.
1882000	1889000	В опозгрессе достнул, тогда тоже большой объём нюансов.
1890000	1893000	А значит, идем дальше.
1893000	1897000	Экзакютный и динамический вызов тоже важный момент.
1897000	1901000	Мою рекомендую мы спеиграть прямо в вызову базу.
1901000	1906000	И используют для этого только соответствующий пакет,
1906000	1908000	который представляет наш технологическое ядро.
1908000	1911000	Это рантайм-калк и рантайм-кл-п.
1912000	1917000	Формально поддержка синтекси с экзакютами диет, она остается.
1918000	1921000	Но, опять же, мы настойчиво рекомендуемо избавляться,
1921000	1926000	так как из-за различий синтексиса очень сложно писать универсальный код,
1926000	1928000	особенно в части анониды плого.
1931000	1935000	Следующий пункт макросы темно тоже достаточно сложно.
1935000	1937000	То есть, упорно.
1937000	1939000	Печу прорабатывается.
1939000	1942000	Сразу можно сказать, что макросы процесс остаются.
1942000	1946000	А вот макросы требующие вычисления на этапе компиляции
1946000	1948000	не необходимо избавляться.
1948000	1952000	Мы исходим из того, что в целого картине сборка тебя и приложения,
1952000	1955000	как уже говорили, происходит из систему контроля версий
1955000	1960000	и не будет в базе данных, где данный макрос мог бы быть вычисым.
1963000	1967000	Следующий пункт — это перехват в аназорс.
1967000	1970000	Ну, в принципе, стандартный, наверное,
1970000	1974000	какие из рекомендации не обходятся без того,
1974000	1977000	что не говорят, что нельзя перехватываться у подряды.
1979000	1981000	Но в Позгрессе есть новый анс.
1981000	1983000	Позгресса отличия оторогла,
1983000	1987000	порция транзакцию привезник повения исключения большинства групп.
1988000	1990000	После возник повения таких ошибок,
1990000	1993000	попытка выполнить любой команды,
1993000	1996000	сквозь будет сопровождаться выбросом исключения.
1997000	2001000	В текущий момент конструкционазор
2001000	2003000	перехватывает исключение всего группа,
2003000	2008000	поэтому бесправильные обработки исключения,
2008000	2011000	бесправильные обработки исключения,
2011000	2015000	что либо положить изъять из базы,
2015000	2017000	нам не удастся.
2017000	2020000	Нужно обязательно делать либо Ролбэк,
2020000	2023000	минимум до точки исполнения проблемных запросы,
2023000	2027000	либо выбрасывать исключение наружу для дальнейшего обработки.
2028000	2031000	На текущий момент рассматривается вариант,
2031000	2034000	используя настройки GDBC Driver,
2034000	2038000	который позволяет автоматически режиме делаться
2038000	2040000	в Позгрессе, при каждом запросе.
2040000	2050000	Но почему рассматривается при включении данной настройки,
2050000	2054000	начинает подицу большого количества лишних транзакций.
2054000	2057000	И опять же, в свою очередь,
2057000	2062000	это сокращает время работы базы данных
2062000	2064000	до раправга.
2064000	2067000	Это нужно тоже кчитывать.
2067000	2070000	Следующий план, как самая дайп,
2070000	2073000	с ним в процедурном коде все проблемы решены.
2073000	2076000	Подраничение приема у нас больше нет.
2077000	2079000	Дальше, сколько это и сколько стоит.
2082000	2087000	Тут тоже есть различие в обработке исключений.
2087000	2095000	Если раньше кто-то обрабатывал ход исключения цифровой,
2095000	2099000	то обработки необходимо переписывать.
2099000	2102000	Дело все в том, что GDBC Driver,
2103000	2107000	в качестве коды исключения всегда возвращает ноль.
2107000	2110000	Но при этом, успешно возвращает исключения цифровой.
2110000	2113000	Это, естественно, используем рекоды, переписывает,
2113000	2116000	используем исключения цифровой.
2116000	2119000	Следующий момент триггеры.
2119000	2122000	С триггерами тоже все достаточно просто.
2122000	2124000	Они необходимо избавляться.
2124000	2126000	Точнее, от прикладных триггеров.
2126000	2129000	Так как в основном они вызывают прикладные пакеты,
2129000	2132000	парктиптуре, дебяй, не будет.
2135000	2138000	Следующий пункт поэплайн функции.
2141000	2142000	Отобный функция.
2142000	2145000	Они нужно для использования воскоиля
2145000	2150000	и идентично с ограничением воскоиля,
2150000	2155000	а на политические функции они синтактически не будут поддерживаться в дебяй.
2155000	2157000	Обращение к ним необходимо удалять.
2159000	2162000	И следующие.
2162000	2164000	Наверное, очень интересные тоже.
2164000	2165000	Домоги пункта.
2165000	2166000	Это рабловая чё-то.
2166000	2168000	Их поддержки.
2168000	2170000	Дебяй не будет.
2170000	2174000	рабовая чё-то необходимо переписывать на использование,
2174000	2177000	например, функционал Олексовый.
2180000	2182000	Следующий момент.
2182000	2183000	Подходим к консоль.
2183000	2185000	Это ограничение типизации.
2185000	2187000	Как говорили ранее,
2187000	2190000	положение более чувствительного приведения типов.
2190000	2193000	При использовании определения курсоров,
2193000	2196000	как типов нужно читать, что два разных курсора
2196000	2198000	воспринимались одинаково-орбом,
2198000	2202000	если их выражение выбор писов подали.
2202000	2206000	Для джавы и дебяй они могут быть объявлены
2206000	2211000	как разные глаз и компилятор в итоге на это будет ругаться.
2211000	2213000	И последний момент.
2213000	2215000	Это регулярное выражение.
2215000	2221000	Тут хочется заметить, что регулярные выражения
2221000	2224000	будут работать немножко по-разному.
2224000	2227000	Известные различия в работе,
2227000	2229000	приведены в документации твоей у всей.
2229000	2232000	И мы с ней также можете ознакомиться.
2232000	2234000	И, наверное, новый делит самый,
2234000	2236000	и более часто встречаемый отличие.
2236000	2239000	Это отличие экранирования специалов.
2239000	2247000	На этом обзор.
2247000	2250000	Но документа закончен.
2250000	2254000	Я могу сказать, что это не, конечно,
2254000	2256000	версия документа.
2256000	2260000	Документ дорабатывается, появляются новые пункты,
2260000	2264000	какие-то пункты мы убираем,
2264000	2268000	постоянно идёт модернизация технологического ядра.
2268000	2277000	Презвонает сократить трудозатраты на адаптацию кода.
2277000	2284000	Поэтому будем держать вас в курсе изменений.
2284000	2287000	На этом я закончила.
2287000	2292000	И передаю слово Александр Козуков.
2298000	2301000	Так, я, конечно, прошу прощения.
2301000	2305000	Отбирайте, как передать слово, забыли.
2305000	2308000	Наверное, самый важный момент.
2308000	2311000	Это вопросы и ответы.
2311000	2315000	Давайте не могу времени на этого телим.
2315000	2319000	Если удобно, я буду защитывать какие-то вопросы.
2319000	2322000	Исчата Возера Т. Отвечаешь тогда.
2322000	2329000	Сборки только и системы контроля версии относятся
2329000	2331000	игдестреботивным сборком.
2331000	2335000	Истреботив тоже будет необходимо заводить систему контроля версий.
2335000	2340000	Как дополнение, и так и исправление в рамках несоответствий.
2340000	2345000	Наверное, пока не готовы ответить на данный вопрос,
2345000	2348000	как будет поставляться дистриботивный код,
2348000	2351000	пока вопрос находится в проработке.
2352000	2356000	Поэтому, конечно, ответа на тюрьшый момент.
2356000	2361000	Я насколько помню по теме поставки,
2361000	2366000	обновление и дополнение, у нас запланирован отдельный вебинар.
2366000	2367000	По-моему, на марта месяца.
2367000	2369000	Ну, если что, на то же меня поправится.
2369000	2373000	То есть, однозначно, он будет, но чуть позже.
2373000	2377000	Наста марта запланирована встреча.
2377000	2380000	По этими в том числе.
2380000	2382000	Отлично. Спасибо, Наташ.
2382000	2383000	Следующий вопрос.
2383000	2385000	Если не работает хин, то как решать вопросы индексов,
2385000	2388000	параллельных запросов и другие вопросы оптимизации?
2391000	2393000	Прошу вопрос.
2393000	2398000	Могу сразу сказать, что политика.
2398000	2402000	Позвольте очень с точки зрения оптимизатора.
2402000	2404000	Отличается торокла.
2404000	2407000	Пример компанией позвольствия считают,
2407000	2410000	если этот оптимизатор работает неправильно.
2410000	2413000	Значит, об этом нужно заявить.
2413000	2417000	И будет исправленный оптимизатор.
2417000	2420000	Но если говорить более серьезно,
2420000	2427000	то на текущий момент мы веществим путешествия.
2427000	2434000	Как можно будет в том числе и диагностировать данные проблемы.
2434000	2438000	Скорее всего, как с ними бороться?
2438000	2446000	Так что в будущем мы обязательно придем с пониманием данной проблематики.
2446000	2447000	Спасибо, Валя.
2447000	2448000	Следующий вопрос.
2448000	2453000	Грит, таблицы, используемую в формах при тебя разработке пепли.
2453000	2454000	Пере плюсов и две е.
2454000	2456000	У нас останутся?
2456000	2459000	Да. Гриде остаются.
2459000	2462000	Спасибо.
2463000	2468000	Так, впуск, если аналогия Рокловых очередей Ороколы 20.
2468000	2471000	Так, Ю.
2471000	2476000	Она уже есть, но есть аналога Погатива,
2476000	2480000	но тоже проводились следованы на эту тему,
2480000	2484000	на предмет пригодостатальной реализации.
2484000	2488000	И на текущий момент мы смотрим в сторону работы
2488000	2492000	с альтернативным брокером,
2492000	2496000	с внешним брокером относительно база данного.
2496000	2502000	Который будет как раз заменять Рокловые очереди адвозки.
2502000	2507000	И мы рассчитываем максимально сохранить АПИ,
2507000	2512000	позволить переспользовать текущий АПИ на уровне пиблиотек.
2512000	2514000	Не Орокловых пакеток,
2514000	2516000	мы не говорим, что там по маску,
2516000	2518000	и тогда будет поддерживание.
2518000	2521000	Но приклады для теки,
2521000	2524000	мы поняли, что будут совместимы
2524000	2528000	у тебя и с внешним брокером.
2530000	2534000	Легий предлагает ответить на данное встрече на последний вопрос.
2534000	2538000	Остальные вопросы мы ответим уже в пале,
2538000	2542000	которые разошли с рестаймингом.
2544000	2546000	Наверное, последний вопрос.
2546000	2548000	Я вот этот задам будут рекомендации
2548000	2550000	по вызовам из внешних систем.
2550000	2552000	У нас много чего работает на прямых дабылинг.
2552000	2554000	Просто вызываем пакет.
2554000	2556000	Теперь пакет не будет, что в замен.
2556000	2558000	И я, наверное, сама отвечу,
2558000	2562000	что у нас будет отдельный вебинар по как раз интеграционным решениям.
2562000	2566000	По-моему, через месяц.
2566000	2568000	И там, и как раз подробнее,
2568000	2572000	как святим кем реализации интеграционных решений
2572000	2574000	в архитектуре дебяи.
2578000	2582000	Видимо, на этом вот этот блок
2582000	2586000	заканчиваем, и болер передаваясь
2586000	2590000	дальше управление виталии Александр Козак.
2590000	2592000	Спасибо.
2593000	2595000	Коллеги, еще раз здравствуйте.
2598000	2600000	На этом рубеже
2600000	2602000	техническая часть
2602000	2604000	и посвященной проблематики
2604000	2607000	изменения, которые
2607000	2610000	плеваясь им или в средней срочной перспективе
2610000	2612000	нам предстоит она заканчивается.
2612000	2615000	Теперь речь пойдет несколько
2615000	2618000	об другом аспекте, речь пойдет о том,
